species,red_list_url
Arvicola sapidus,https://www.iucnredlist.org/species/2150/9290712
Asellia patrizii,https://www.iucnredlist.org/species/2153/21975955
Aselliscus tricuspidatus,https://www.iucnredlist.org/species/2156/21976047
Aslauga australis,https://www.iucnredlist.org/species/2171/168304551
Nilssonia nigricans,https://www.iucnredlist.org/species/2173/2778172
Nilssonia leithii,https://www.iucnredlist.org/species/2174/2778380
Aspidites ramsayi,https://www.iucnredlist.org/species/2176/83765377
Leuciscus aspius,https://www.iucnredlist.org/species/2178/136077402
Astacoides madagascarensis,https://www.iucnredlist.org/species/2183/96556065
Astacoides crosnieri,https://www.iucnredlist.org/species/2184/96555878
Astacoides petiti,https://www.iucnredlist.org/species/2185/96555673
Astacoides granulimanus,https://www.iucnredlist.org/species/2186/96555465
Astacoides caldwelli,https://www.iucnredlist.org/species/2187/96555259
Astacoides betsileoensis,https://www.iucnredlist.org/species/2188/96555039
Astacopsis gouldi,https://www.iucnredlist.org/species/2190/9337732
Astacus astacus,https://www.iucnredlist.org/species/2191/9338388
Haplochromis barbarae,https://www.iucnredlist.org/species/2193/9340864
Haplochromis brownae,https://www.iucnredlist.org/species/2194/9341151
Haplochromis martini,https://www.iucnredlist.org/species/2196/9341491
Haplochromis megalops,https://www.iucnredlist.org/species/2197/9341789
Ataeniobius toweri,https://www.iucnredlist.org/species/2271/2782910
Atelerix frontalis,https://www.iucnredlist.org/species/2274/115061260
Atelerix sclateri,https://www.iucnredlist.org/species/2275/115061435
Ateles belzebuth,https://www.iucnredlist.org/species/2276/191684587
Ateles geoffroyi,https://www.iucnredlist.org/species/2279/191688782
Ateles geoffroyi ssp. frontatus,https://www.iucnredlist.org/species/2280/17979622
Ateles marginatus,https://www.iucnredlist.org/species/2282/191689524
Ateles paniscus,https://www.iucnredlist.org/species/2283/191691902
Ateles geoffroyi ssp. azuerensis,https://www.iucnredlist.org/species/2286/195990183
Ateles geoffroyi ssp. grisescens,https://www.iucnredlist.org/species/2287/17979753
